2.837075211573391936e-04,2.361939841648563743e-04,3.222797822672873735e-04,9.838690757751464844e-01
2.819172950694337487e-04,2.356282348046079278e-04,3.208982234355062246e-04,9.839388728141784668e-01
2.810916528687812496e-04,2.351085277041420341e-04,3.170141717419028282e-04,9.841262698173522949e-01
2.794265252305194952e-04,2.346599794691428542e-04,3.144371730741113424e-04,9.842520952224731445e-01
2.791626538964919746e-04,2.343951637158170342e-04,3.091191465500742197e-04,9.845069050788879395e-01
2.770756531390361271e-04,2.342813386349007487e-04,3.053206019103527069e-04,9.846908450126647949e-01
2.756245390628464737e-04,2.340713253943249583e-04,3.035340050701051950e-04,9.847804903984069824e-01
2.744253273704089007e-04,2.340398641536012292e-04,2.998755662702023983e-04,9.849591255187988281e-01
2.747557911789044629e-04,2.346539840800687671e-04,2.912566123995929956e-04,9.853700399398803711e-01
2.726471619098447372e-04,2.352994633838534355e-04,2.857043000403791666e-04,9.856319427490234375e-01
