1.892401099205017090e+00,2.288105010986328125e+00,2.288105010986328125e+00,3.403308093547821045e-01
1.565786331892013550e+00,1.555600881576538086e+00,1.555600881576538086e+00,4.523079693317413330e-01
1.061442501842975616e+00,1.101282596588134766e+00,1.101282596588134766e+00,5.439127087593078613e-01
7.484804764389991760e-01,8.203042149543762207e-01,8.203042149543762207e-01,6.798379421234130859e-01
5.518745109438896179e-01,5.660983324050903320e-01,5.660983324050903320e-01,7.439154386520385742e-01
3.677086569368839264e-01,4.158861637115478516e-01,4.158861637115478516e-01,8.083631396293640137e-01
2.699891701340675354e-01,4.133656919002532959e-01,4.133656919002532959e-01,8.230865597724914551e-01
2.120869308710098267e-01,3.084793686866760254e-01,3.084793686866760254e-01,8.792724013328552246e-01
1.852305755019187927e-01,2.248774617910385132e-01,2.248774617910385132e-01,8.934012651443481445e-01
1.453626509755849838e-01,1.821440458297729492e-01,1.821440458297729492e-01,9.125473499298095703e-01
